Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Cases_28_Days,Deaths_28_Days
Mexico,2022-01-11 08:21:10,23.6345,-102.5528,4125388,300334,,,3228.197983718673,,,7.280139468093668,484,MEX,207172,3662
Micronesia,2022-01-11 08:21:10,7.4256,150.5508,1,0,,,0.8786188112287484,,,0.0,583,FSM,0,0
Moldova,2022-01-11 08:21:10,47.4116,28.3699,380985,10380,,,9444.434666356632,,,2.724516713256428,498,MDA,10982,987
Monaco,2022-01-11 08:21:10,43.7333,7.4167,6087,42,,,15510.651309754356,,,0.6899950714637753,492,MCO,1973,6
Mongolia,2022-01-11 08:21:10,46.8625,103.8467,396337,2074,,,12089.740633232184,,,0.5232920469196668,496,MNG,10890,38
Montenegro,2022-01-11 08:21:10,42.708678000000006,19.37439,192171,2448,,,30597.456938964624,,,1.2738654635715063,499,MNE,32270,91
Morocco,2022-01-11 08:21:10,31.7917,-7.0926,1004706,14915,,,2722.001656003141,,,1.4845138776915834,504,MAR,53162,117
Mozambique,2022-01-11 08:21:10,-18.665695,35.529562,210991,2096,,,675.0537946440355,,,0.9934073017332492,508,MOZ,57204,151
Namibia,2022-01-11 08:21:10,-22.9576,18.4904,152826,3726,,,6014.602607878419,,,2.4380668210906515,516,NAM,19736,148
Nepal,2022-01-11 08:21:10,28.1667,84.25,833946,11606,,,2862.1735091915352,,,1.3916968244946315,524,NPL,9411,49
Netherlands,2022-01-11 08:21:10,52.3167,5.55,3439340,21563,,,20072.165110298745,,,0.6269516825902645,528,NLD,503170,967
New Zealand,2022-01-11 08:21:10,-40.9006,174.886,14758,51,,,306.04079064615917,,,0.3455752812034151,554,NZL,1689,4
Nicaragua,2022-01-11 08:21:10,12.865416,-85.207229,17526,218,,,264.5612066865181,,,1.2438662558484537,558,NIC,198,4
Niger,2022-01-11 08:21:10,17.607789,8.081666,8076,281,,,33.362752263470234,,,3.479445269935612,562,NER,913,12
Nigeria,2022-01-11 08:21:10,9.082,8.6753,248732,3085,,,120.66192797795796,,,1.2402907547078783,566,NGA,31251,104
North Macedonia,2022-01-11 08:21:10,41.6086,21.7453,234277,8042,,,11245.044111011914,,,3.4326886548828948,807,MKD,14787,302
Norway,2022-01-11 08:21:10,60.472,8.4689,450908,1350,,,8317.429843567212,,,0.2993958856352072,578,NOR,133028,214
Oman,2022-01-11 08:21:10,21.512583,55.92325500000001,308261,4119,,,6036.495358379767,,,1.3362053584462517,512,OMN,3537,6
Pakistan,2022-01-11 08:21:10,30.3753,69.3451,1307174,28974,,,591.769752296199,,,2.2165373546291467,586,PAK,17631,135
Palau,2022-01-11 08:21:10,7.515,134.5825,8,0,,,44.4247001332741,,,0.0,585,PLW,0,0
Panama,2022-01-11 08:21:10,8.538,-80.7821,529454,7469,,,12270.740860227017,,,1.4106985687141849,591,PAN,48673,83
Papua New Guinea,2022-01-11 08:21:10,-6.314993,143.95555,36403,591,,,406.8725846026842,,,1.6234925692937394,598,PNG,466,5
